user_id,ratings_count
20807,17546
140590,17534
281232,17533
147331,17526
131988,17520
122341,17517
283786,17509
312302,17410
297931,17204
85472,16775
63900,16774
50485,16639
269633,16557
189037,15993
252520,15688
92529,15668
162615,15600
173716,15381
222150,15197
68042,14638
182280,14606
264001,14504
11100,14429
259790,13857
22022,13696
315617,12914
208263,12809
61445,12594
284246,12555
333379,12392
82327,11938
222177,11724
130106,11716
156207,11564
336459,11300
300428,11115
222811,11103
275530,10960
277955,10901
323328,10208
291207,9781
277841,9701
211814,9633
336750,9005
233787,8999
16869,8943
189043,8897
107650,8724
128647,8709
138375,8666
83196,8656
38143,8544
244904,8502
328195,8412
10255,8403
259885,8319
277335,8197
323953,8175
271257,8121
57684,7961
260172,7859
304886,7820
192373,7792
34501,7787
316154,7728
159019,7695
196801,7677
345498,7634
219379,7617
53312,7601
284616,7546
201147,7471
221161,7454
44215,7419
276953,7408
118705,7376
71931,7339
287040,7282
64807,7275
111204,7186
190748,7137
169677,7113
270987,7075
57047,7019
270891,6927
323567,6830
258311,6781
239301,6722
139432,6650
85106,6649
154517,6643
164456,6625
114866,6542
145373,6500
299795,6487
323544,6480
352811,6478
94110,6452
260069,6382
34764,6376
341571,6374
165884,6367
56873,6325
251388,6288
251716,6262
271499,6237
242141,6236
290208,6224
102250,6208
35485,6162
212373,6137
87178,6088
328108,5980
127483,5958
172151,5936
310366,5920
165652,5906
271092,5893
52024,5891
223998,5872
337955,5851
150319,5835
74752,5822
107014,5782
151545,5765
135337,5763
319209,5756
174138,5753
108857,5746
4773,5735
201759,5734
352583,5718
187292,5687
286141,5680
302650,5678
341719,5607
316810,5543
122812,5540
337637,5533
126474,5506
179124,5488
284948,5469
28205,5456
284066,5443
226501,5442
6852,5406
37932,5395
80962,5388
81777,5360
156940,5360
199088,5352
272062,5346
203453,5346
18355,5329
321518,5314
130040,5311
95301,5300
294765,5269
167810,5269
321704,5220
319604,5184
156013,5183
152847,5183
227400,5173
312360,5166
275125,5159
180563,5155
106677,5154
194781,5142
278536,5138
26654,5128
233122,5126
231986,5126
261827,5121
315693,5118
55500,5117
125448,5088
16057,5080
55748,5067
192936,5060
53100,5059
198903,5046
227529,5039
23930,5030
321540,5025
90475,4994
25411,4978
272555,4974
320669,4972
215741,4957
66271,4956
158663,4941
316648,4934
208886,4927
130753,4926
183137,4923
341364,4923
255774,4894
220622,4894
238267,4873
109227,4861
60881,4851
251233,4834
207215,4823
252383,4806
249679,4788
308285,4787
76674,4761
161634,4736
328397,4721
67428,4716
290269,4713
218449,4711
298783,4707
10409,4677
351801,4675
15609,4670
84558,4662
243768,4652
181711,4645
93049,4641
122020,4634
115395,4632
270659,4601
88508,4600
10665,4598
6536,4597
314671,4572
30761,4571
338928,4560
200679,4537
172824,4521
249578,4494
348906,4486
151022,4453
47118,4452
38336,4443
217586,4440
292676,4437
161506,4427
219370,4425
29484,4417
283041,4415
117884,4414
206219,4410
309429,4400
240415,4392
198999,4380
63339,4380
344367,4378
176954,4376
54171,4375
332300,4360
42079,4359
309476,4356
165549,4344
287350,4341
7179,4340
4132,4340
226043,4339
316318,4329
228272,4323
181631,4322
157674,4319
96285,4311
84177,4302
261635,4298
228256,4297
223864,4292
97997,4281
204814,4279
209888,4276
159370,4275
87672,4275
298988,4269
308384,4252
234174,4250
236498,4242
290600,4241
17907,4235
184995,4221
335278,4211
22100,4203
277548,4202
48760,4195
219489,4194
95253,4178
130432,4177
251620,4175
158582,4159
73576,4151
247274,4150
261898,4143
71433,4136
99690,4120
327150,4120
192535,4106
348776,4105
20314,4102
121782,4099
107059,4096
193634,4091
24725,4085
247823,4082
59837,4080
237576,4079
198863,4069
42788,4069
327554,4068
305052,4066
223523,4065
147569,4064
58944,4063
60440,4058
129411,4055
32075,4052
79975,4038
84200,4035
11249,4019
122007,4017
222688,4010
297524,4005
186498,4005
263096,4004
151250,3995
137297,3993
283272,3988
179543,3981
90350,3977
117942,3967
271071,3966
187256,3965
35748,3961
163276,3958
258335,3955
203234,3951
64917,3951
245131,3950
79213,3950
136899,3946
147157,3944
8481,3936
270254,3934
311647,3933
781,3932
262336,3928
337135,3926
279837,3924
327619,3923
205106,3910
294130,3909
294192,3908
7137,3905
192123,3902
283704,3894
39938,3893
188096,3893
347192,3891
200070,3890
24789,3887
86271,3885
272989,3885
13423,3877
93041,3873
253744,3869
121938,3861
216807,3859
141558,3847
292157,3847
68627,3842
69889,3840
78522,3838
88749,3831
209452,3829
292011,3823
24990,3820
180069,3819
245056,3817
284268,3816
890,3812
105153,3810
156081,3808
218185,3802
279696,3800
15083,3797
268503,3797
226869,3796
13957,3792
278490,3785
110900,3784
90497,3775
44342,3767
261665,3766
10367,3764
254125,3760
322692,3756
240056,3755
31264,3749
142391,3747
271482,3743
132753,3740
248323,3739
53469,3739
230982,3738
79507,3732
316579,3730
17611,3724
239145,3722
16526,3717
123128,3716
351361,3714
68273,3712
194906,3711
297715,3709
160057,3708
73149,3702
58855,3702
16102,3697
43578,3696
346343,3695
290954,3690
75711,3688
341584,3686
123546,3683
127857,3681
204990,3676
62074,3673
229851,3669
126880,3664
32587,3664
325421,3663
347736,3657
176895,3647
286081,3646
63667,3643
171844,3639
323799,3639
26045,3639
305182,3631
345133,3622
191271,3617
36023,3615
324907,3610
267712,3609
191503,3609
349290,3608
120082,3605
144384,3596
45780,3596
186397,3593
62896,3590
292766,3579
5648,3577
231459,3577
78715,3575
112606,3569
45983,3568
22366,3565
255216,3561
50794,3559
297902,3559
226872,3558
70184,3534
17445,3524
349952,3523
96102,3522
337111,3521
125249,3518
74911,3510
183940,3508
297666,3506
96100,3505
43293,3504
127275,3501
168939,3500
162999,3496
302072,3495
337494,3495
188248,3493
281935,3489
9946,3488
151348,3486
223344,3483
77563,3478
278729,3461
71951,3453
14092,3452
297268,3450
316968,3448
31891,3448
38287,3447
264374,3446
14546,3443
302306,3442
37238,3442
207792,3441
23499,3440
11048,3436
33389,3434
187059,3433
350981,3429
199673,3429
277974,3428
58406,3428
125524,3428
135624,3425
39742,3424
93182,3424
23878,3423
262108,3423
175940,3421
255444,3417
31547,3415
238050,3414
174711,3414
295488,3414
65648,3407
110820,3404
41236,3401
177967,3401
45257,3400
12256,3400
121822,3398
154631,3395
23184,3395
89897,3394
178933,3394
237327,3392
33931,3388
196423,3387
106317,3387
348275,3385
152637,3384
302198,3382
16282,3380
307026,3374
98913,3371
338363,3362
172855,3362
307456,3358
156972,3357
305485,3356
30368,3356
169563,3353
290647,3352
241747,3352
189690,3349
140382,3343
323766,3341
300155,3332
16589,3331
13277,3330
182168,3328
158532,3327
140465,3326
10396,3324
103998,3320
301909,3314
206944,3314
133772,3311
159988,3308
68017,3308
86885,3308
100645,3306
119463,3303
57232,3302
276635,3301
140481,3297
107224,3294
304400,3293
323454,3291
316538,3286
208484,3285
117521,3283
29280,3280
236483,3278
283516,3277
44714,3274
110825,3274
51385,3273
290134,3272
155658,3269
231851,3262
110581,3259
204988,3259
31377,3259
341076,3255
116303,3254
206603,3254
301194,3252
251416,3252
264837,3250
152696,3249
225127,3248
41362,3247
182090,3244
175897,3244
241541,3242
283490,3241
315076,3241
332521,3241
162731,3232
130682,3230
150599,3228
332910,3228
110656,3228
309223,3227
308090,3226
130166,3226
160479,3224
314851,3212
11389,3209
201702,3205
89790,3205
70536,3205
230616,3202
163262,3201
126711,3201
241454,3199
325736,3197
58817,3196
334396,3195
120113,3191
33895,3191
223325,3189
57914,3189
236366,3187
225781,3186
278333,3186
165485,3186
103523,3184
85078,3183
152481,3181
94729,3178
337439,3178
259381,3177
196467,3177
44971,3176
210864,3176
100348,3173
227907,3164
212486,3164
7624,3164
29839,3162
234424,3162
217753,3162
234429,3161
318585,3161
187172,3160
349054,3154
90648,3153
149280,3150
109448,3150
133375,3150
68657,3149
252689,3144
328296,3141
251180,3137
272784,3134
299777,3132
172259,3131
209447,3130
208619,3129
203180,3128
86402,3128
200359,3125
73667,3124
263805,3123
294920,3122
151092,3120
89125,3117
107119,3116
295171,3116
289648,3114
272047,3114
261314,3112
141674,3112
342573,3109
13909,3104
299362,3104
78549,3104
31816,3104
3021,3102
183562,3098
301547,3098
304151,3096
223495,3095
239852,3093
340526,3091
207243,3091
197908,3088
242446,3088
116689,3086
128681,3085
117031,3085
93067,3085
76123,3084
151205,3083
173805,3080
172792,3078
108616,3078
49700,3078
148432,3077
22767,3077
180661,3076
297958,3074
103306,3073
1397,3072
186079,3072
325852,3071
310524,3070
264520,3069
322826,3068
270011,3064
339284,3059
50140,3058
88007,3055
36586,3055
97793,3052
176005,3051
252909,3046
243466,3046
33275,3045
109257,3044
43129,3043
125831,3043
286450,3041
53711,3040
113349,3036
234878,3035
217566,3032
166764,3031
198173,3030
293259,3029
222088,3022
270901,3022
150465,3020
24099,3019
258044,3018
195355,3017
87044,3016
265839,3016
297816,3016
350902,3015
306017,3015
338533,3015
242780,3012
65844,3011
252242,3011
244958,3011
246928,3010
153893,3010
41218,3009
210990,3008
41589,3007
336602,3007
201742,3006
341521,3004
12888,3004
25898,3003
41898,3002
231173,3002
314549,2999
138523,2997
209638,2995
89415,2995
206119,2995
330976,2995
130524,2993
145973,2993
208485,2991
335411,2991
265580,2988
345119,2986
67943,2984
325387,2984
304499,2982
208788,2982
201625,2982
37441,2982
6783,2981
82491,2978
158020,2976
8326,2975
77620,2974
254739,2972
206532,2972
273071,2972
237851,2971
267077,2971
244494,2970
325283,2968
144837,2965
181340,2965
56441,2964
152975,2964
280698,2963
165346,2962
230463,2960
95959,2957
58247,2956
11697,2953
344555,2953
276737,2950
61046,2949
136448,2949
116653,2948
6206,2947
88238,2944
346509,2944
145223,2943
94450,2943
347444,2942
133333,2941
170143,2940
77048,2935
297977,2934
302012,2933
83214,2932
255316,2931
53814,2931
217217,2930
23094,2929
14676,2928
23644,2926
156355,2926
278548,2923
330851,2923
229464,2923
182377,2921
68572,2920
211596,2918
229202,2918
1469,2916
219288,2916
148413,2914
265522,2913
279645,2911
201200,2911
298772,2911
97868,2911
106236,2910
12688,2907
82737,2906
350165,2905
120055,2904
33975,2903
6559,2901
168591,2899
84335,2897
68155,2897
83302,2897
216141,2895
73970,2895
122735,2894
94820,2894
311952,2891
27821,2889
343978,2889
220437,2888
325502,2886
151649,2885
8103,2882
215593,2879
227192,2879
343969,2878
111431,2878
263012,2873
99003,2873
224393,2872
266905,2871
346506,2870
218258,2870
162619,2870
11544,2869
326466,2866
68467,2866
99722,2866
311527,2866
13307,2865
40903,2864
147099,2864
238122,2863
211756,2860
54818,2855
5045,2853
114166,2851
60568,2849
106462,2847
213504,2847
49791,2846
336648,2840
109751,2839
124881,2835
54350,2835
284676,2834
144924,2834
264945,2831
41435,2831
136550,2829
330319,2829
266434,2829
230957,2829
3578,2828
243053,2828
243913,2827
114027,2827
281848,2826
37603,2825
60567,2824
283644,2824
327931,2824
64746,2821
215568,2819
232230,2817
284984,2817
302260,2817
236207,2816
81158,2813
111397,2813
138967,2811
329349,2811
109289,2810
277549,2808
269025,2808
3160,2807
244563,2806
287094,2806
31631,2806
264980,2805
139392,2802
112509,2802
278190,2801
183072,2800
279054,2796
232483,2796
114950,2796
92690,2795
273537,2795
133999,2794
335619,2794
321218,2793
269647,2793
91085,2792
216785,2791
310767,2791
281985,2790
128013,2790
25546,2784
256103,2782
290416,2782
31440,2781
283028,2780
45024,2780
305304,2779
219982,2777
96569,2777
208330,2777
243289,2775
167849,2775
104469,2774
207013,2774
330182,2773
327164,2773
279376,2772
300154,2772
65799,2771
188211,2771
16167,2771
126511,2768
30295,2767
38173,2767
112768,2765
166190,2765
17363,2764
186873,2761
232307,2760
330536,2760
325603,2760
249833,2755
279596,2754
26807,2754
333717,2752
47159,2750
195456,2750
212891,2750
119669,2748
27694,2747
119550,2746
321631,2745
54482,2745
114389,2745
104757,2744
159274,2744
303965,2743
223512,2742
27871,2742
113079,2741
171551,2741
275481,2741
251496,2741
257327,2741
66064,2740
230565,2739
131093,2736
203442,2734
24875,2734
187162,2732
327879,2729
157583,2729
50514,2725
139240,2720
340828,2718
53332,2717
100179,2716
245728,2716
298307,2714
203285,2714
102483,2713
143516,2712
64095,2710
251830,2709
238871,2709
340073,2709
280741,2705
130609,2703
247360,2703
39353,2703
217810,2702
43319,2702
215658,2701
283932,2701
36256,2700
235689,2697
72589,2696
115501,2696
10268,2695
43365,2694
37123,2693
52138,2693
99395,2692
240813,2692
40488,2690
26661,2690
287720,2690
166915,2689
112364,2689
134393,2689
63618,2689
302517,2682
214527,2682
123205,2682
86157,2681
58076,2681
178437,2680
167892,2680
39660,2679
95790,2679
161305,2679
236132,2679
260802,2678
325243,2677
255145,2676
326727,2670
62117,2670
146007,2669
40034,2669
102897,2667
234515,2666
133959,2666
173729,2666
329344,2665
255682,2665
56255,2664
74220,2663
27424,2660
20292,2660
306271,2659
301085,2658
78993,2654
231923,2652
49778,2651
130016,2650
329704,2650
57238,2650
262225,2649
72375,2648
352301,2647
190140,2645
80815,2645
341960,2643
152175,2642
129274,2642
205336,2640
133981,2640
31854,2640
307234,2638
70964,2638
137489,2638
110301,2636
126809,2636
225905,2634
350286,2631
268916,2630
134208,2629
229938,2629
11133,2627
276078,2626
32618,2626
215179,2625
214221,2625
6223,2624
313074,2621
132483,2621
66461,2620
315188,2620
45741,2618
163297,2617
201541,2615
5560,2615
240387,2614
217523,2614
1946,2613
344945,2612
159320,2612
45916,2612
166994,2611
298913,2611
171899,2609
80620,2609
24764,2609
32913,2608
163196,2606
223578,2606
172196,2606
321679,2604
221741,2600
295221,2600
251686,2599
295302,2599
73750,2599
436,2598
20613,2598
39785,2596
83837,2596
296048,2595
207704,2594
90547,2594
118079,2594
45193,2592
157912,2592
88222,2590
346353,2590
153442,2590
351069,2589
145710,2588
89191,2588
114230,2587
217552,2586
57732,2586
162892,2585
27297,2584
237237,2584
246969,2584
112928,2583
199562,2582
272074,2580
55793,2580
173570,2579
66718,2579
325125,2578
206697,2578
85098,2577
110247,2576
29431,2575
205883,2574
112634,2573
35863,2573
9528,2572
135087,2572
174354,2571
52047,2571
292408,2571
205983,2570
325425,2569
232797,2567
251731,2567
6082,2566
170182,2565
27323,2562
238951,2561
270375,2561
7750,2561
221712,2561
20915,2560
287573,2559
160957,2558
273127,2558
89953,2558
146204,2557
257277,2556
332730,2556
141930,2555
350266,2555
245844,2553
50335,2552
220061,2552
9945,2551
313133,2550
41390,2550
154514,2550
285547,2549
153618,2549
24068,2549
182736,2548
180903,2547
219047,2547
256814,2546
214723,2546
278303,2546
251316,2546
208101,2545
70778,2545
316309,2544
350166,2543
29650,2543
37287,2542
59522,2540
196867,2538
188335,2537
216519,2537
228769,2532
46470,2532
11585,2532
251403,2531
167395,2530
130314,2529
310320,2527
302905,2525
327692,2525
207223,2524
241668,2523
208254,2523
8296,2523
70916,2522
214636,2522
318563,2521
343062,2521
347235,2521
263316,2520
241547,2519
283782,2519
244503,2518
114992,2517
230647,2516
324721,2516
350112,2515
282202,2515
37692,2514
69665,2513
59319,2512
286352,2512
121416,2511
15597,2511
40653,2509
319765,2509
332341,2507
249772,2507
206828,2506
198062,2506
171624,2505
248435,2505
136004,2504
282558,2503
257541,2503
57039,2502
206731,2501
199261,2501
226916,2500
346787,2500
191611,2500
255582,2500
64074,2499
344776,2498
198643,2498
266116,2496
170709,2495
36555,2495
187244,2491
267954,2489
223400,2489
41756,2487
310065,2487
63174,2485
139680,2485
261120,2482
288227,2482
340979,2481
2465,2481
201927,2481
182330,2480
136991,2480
307094,2479
318896,2478
216883,2478
185205,2478
162596,2477
248476,2476
264929,2476
6548,2475
309113,2475
63113,2474
163601,2474
147810,2470
350215,2470
289673,2469
13184,2469
260123,2468
151263,2468
275143,2467
256419,2466
317008,2466
140271,2466
135631,2466
69728,2465
20782,2465
334640,2465
205885,2465
320219,2465
60417,2464
318839,2464
186506,2464
293983,2463
127740,2463
85193,2463
207928,2462
69511,2462
320334,2462
327453,2461
128498,2460
106943,2460
231730,2459
99660,2459
313180,2459
57990,2458
244932,2458
168357,2458
155354,2457
274067,2457
138532,2456
44567,2455
107290,2455
27905,2454
222635,2453
33270,2452
207970,2452
337862,2451
22018,2451
164300,2450
206632,2450
218699,2450
157335,2449
116563,2449
49516,2449
99638,2445
179960,2444
293814,2442
317343,2441
282189,2441
44090,2440
180907,2439
167340,2439
106227,2439
12429,2438
53884,2436
170125,2436
124161,2436
274997,2435
50716,2435
253767,2433
279622,2433
186739,2433
106492,2433
9623,2432
130006,2432
222064,2431
189736,2431
298425,2430
93788,2429
22160,2429
212825,2428
253396,2428
191960,2427
228939,2427
251693,2426
14058,2426
164886,2426
278325,2426
260420,2425
186907,2425
315411,2424
304492,2424
207137,2423
97298,2421
319137,2421
236417,2421
100635,2421
195301,2419
207530,2418
133156,2418
119497,2418
95689,2417
329626,2417
86932,2417
155489,2416
171077,2416
80865,2416
66947,2415
314888,2415
270144,2415
52673,2415
199357,2414
97407,2413
149952,2413
5241,2413
164370,2412
70971,2412
224911,2412
343229,2412
350612,2411
174025,2411
126454,2411
294851,2411
202152,2411
241580,2411
15507,2410
185896,2410
38638,2410
50813,2410
127726,2409
60794,2409
138623,2408
196828,2408
66835,2408
211153,2407
243919,2407
220446,2407
88519,2406
320478,2406
63027,2405
29285,2405
100101,2404
54921,2402
93961,2401
271800,2400
59688,2400
81413,2399
135291,2399
190344,2398
185290,2398
171831,2398
25383,2397
302016,2397
217092,2396
295892,2396
351733,2396
92340,2395
128331,2393
130188,2392
89895,2391
210911,2390
235223,2390
52019,2390
17273,2389
347369,2388
210971,2387
193784,2387
339419,2387
335227,2387
231744,2386
168090,2386
221861,2386
282322,2385
261027,2385
21615,2385
69118,2384
277529,2384
290033,2383
78596,2383
24868,2383
270306,2382
234758,2382
257590,2382
20989,2382
276367,2381
27510,2381
6149,2380
283181,2380
62155,2380
286636,2379
53950,2379
107047,2379
75005,2378
341460,2378
240528,2377
296884,2377
312382,2377
264098,2376
177870,2375
119762,2375
63317,2375
253172,2375
17559,2374
291134,2373
108282,2373
352930,2371
343691,2371
259300,2370
47863,2370
333192,2370
88198,2369
25902,2368
33693,2368
114504,2365
127958,2365
339137,2365
156188,2364
10224,2364
39649,2363
38664,2363
43182,2362
241805,2362
325224,2362
270270,2362
146,2359
244075,2359
216532,2359
136141,2358
67323,2357
79655,2355
52003,2355
122840,2355
326935,2354
318627,2354
190343,2353
274463,2353
122363,2353
310924,2353
158503,2352
313207,2352
169297,2351
230434,2351
280985,2351
351621,2350
130899,2350
160023,2349
35015,2348
215875,2347
37190,2347
304414,2346
107929,2346
260085,2346
72618,2345
118673,2345
237101,2345
54668,2344
49373,2343
49889,2342
89551,2341
163421,2340
326379,2340
140143,2340
292663,2339
179525,2339
126960,2338
8728,2337
234699,2337
85966,2336
289129,2336
205959,2335
133432,2334
60111,2333
225159,2333
120736,2332
61294,2330
199237,2329
17155,2329
9615,2328
108684,2327
301458,2327
179651,2326
193187,2325
304978,2324
277708,2324
69634,2324
105765,2323
292161,2321
279156,2320
123737,2319
296458,2319
291806,2319
159731,2319
71094,2318
204730,2318
141934,2318
172208,2317
38112,2317
241697,2316
252275,2316
322719,2316
139391,2315
337328,2315
98466,2315
129752,2315
318783,2315
89187,2314
98078,2314
144192,2313
105973,2313
304551,2312
109584,2312
85256,2311
215573,2311
81739,2311
171922,2310
211355,2310
275613,2310
104821,2309
330207,2307
172551,2307
21411,2306
181192,2304
321374,2304
14455,2303
190835,2303
152541,2302
185574,2302
318692,2301
124189,2300
297395,2299
151342,2299
58731,2299
64394,2299
265237,2299
172735,2298
255104,2297
214476,2296
7908,2295
74887,2294
302349,2294
349563,2294
112679,2293
151372,2292
32665,2292
205690,2292
264176,2292
309648,2291
201507,2291
35689,2289
268237,2289
177059,2288
335236,2288
100801,2287
225522,2287
268142,2286
117915,2286
230766,2285
195552,2285
234833,2285
274854,2281
238827,2281
80081,2280
71732,2279
85458,2279
324041,2278
213728,2278
70632,2278
192168,2278
152911,2277
31532,2277
245354,2276
265071,2276
327192,2275
292131,2273
95676,2273
12168,2272
995,2272
70437,2272
319390,2272
181089,2272
19486,2272
286838,2272
174451,2271
220206,2271
171585,2271
242073,2271
344700,2270
42801,2270
334691,2269
154983,2269
265578,2269
58743,2267
178311,2267
120852,2267
171793,2267
249721,2266
155858,2266
341797,2266
64188,2265
95831,2264
251402,2264
77313,2264
299334,2263
61738,2262
21878,2262
150528,2261
339581,2260
169864,2258
284906,2258
116600,2258
239524,2257
240,2257
303907,2257
271680,2256
71290,2253
301986,2252
332126,2252
252734,2252
136531,2251
194496,2251
52476,2251
161256,2251
26650,2250
229366,2250
165426,2249
73229,2249
154784,2248
83046,2247
2362,2247
49576,2247
244555,2246
165209,2246
174596,2246
303334,2246
165251,2245
48384,2243
185671,2243
352062,2242
298230,2242
80543,2242
68962,2241
102131,2240
46835,2240
86842,2239
231501,2239
160195,2238
27618,2238
24983,2237
288462,2237
16865,2237
228222,2236
128020,2236
154826,2235
131808,2233
178151,2233
